[ 19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19;
  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19,  19;
  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20,  20;
  23,  23,  23,  23,  23,  23,  23,  23,  23,  23,  24,  24,  23,  23,  23;
  27,  28,  28,  28,  27,  27,  27,  27,  28,  28,  29,  28,  28,  28,  28;
  31,  32,  32,  32,  31,  31,  30,  31,  32,  33,  33,  33,  32,  32,  33;
  35,  36,  36,  36,  35,  35,  34,  35,  37,  38,  38,  38,  37,  37,  38;
  39,  40,  41,  40,  40,  39,  38,  39,  41,  43,  43,  42,  42,  41,  42;
  43,  45,  45,  44,  43,  43,  42,  44,  46,  47,  48,  47,  46,  46,  47;
  47,  49,  49,  48,  48,  47,  46,  48,  50,  52,  53,  52,  51,  51,  52;
  50,  52,  52,  51,  50,  50,  49,  51,  54,  55,  56,  55,  54,  54,  55;
  53,  56,  56,  55,  54,  53,  52,  54,  58,  60,  60,  59,  58,  58,  59;
  58,  60,  61,  60,  58,  57,  56,  59,  62,  65,  65,  64,  63,  62,  64;
  62,  65,  66,  64,  63,  62,  61,  63,  67,  70,  71,  69,  68,  68,  70;
  64,  68,  68,  67,  65,  64,  63,  66,  70,  73,  74,  72,  70,  70,  73]
